Device_Name,Model_Number,Manufacturer,Indications_for_Use,Contraindications
Haemodialysis Machine,HD-01263,PrecisionMed Inc,"Indicated for patients with end-stage renal disease, acute kidney injury requiring renal replacement therapy, or severe electrolyte imbalances.",Contraindicated in haemodynamically unstable patients unable to tolerate extracorporeal circulation; relative contraindication in active haemorrhage.
Infusion Pump,IP-01264,MedTech Solutions,"Indicated for controlled delivery of intravenous fluids, chemotherapy, antibiotics, analgesics, and other medications requiring precise dosing.",Contraindicated for medications incompatible with the pump tubing material; do not use without appropriate clinical supervision.
Mechanical Ventilator,MV-01265,BioDevice Corp,"Indicated for respiratory failure, post-operative ventilatory support, neuromuscular disease, and patients unable to maintain adequate spontaneous ventilation.",Contraindicated in patients with untreated tension pneumothorax; use with caution in severe bullous emphysema.
Automated External Defibrillator,AED-01266,ClinicalPro Ltd,Indicated for use in cardiac arrest with shockable rhythms including ventricular fibrillation and pulseless ventricular tachycardia.,Do not use on patients with a detectable pulse. Avoid placement over implanted devices or transdermal medication patches.
Blood Glucose Monitor,BGM-01267,HeartCare Systems,Indicated for self-monitoring of blood glucose in patients with diabetes mellitus type 1 and type 2 requiring glycaemic management.,Not intended for use in critically ill patients where laboratory measurements are required. Haematocrit extremes may affect accuracy.
Pulse Oximeter,PO-01268,PulmoTech Inc,Indicated for continuous or spot-check monitoring of peripheral oxygen saturation and pulse rate in clinical and home settings.,"May be inaccurate in patients with poor peripheral perfusion, carbon monoxide poisoning, severe anaemia, or darkly pigmented skin."
Electrocardiograph,ECG-01269,NeuroCare Devices,"Indicated for recording cardiac electrical activity to diagnose arrhythmias, myocardial infarction, conduction abnormalities, and electrolyte disturbances.",No absolute contraindications. Avoid electrode placement over broken skin or wounds. Results may be affected by motion artefact.
Ultrasound Scanner,US-01270,SurgicalPro Ltd,"Indicated for diagnostic imaging of abdominal organs, cardiac structures, vascular anatomy, obstetric assessment, and guided interventional procedures.",No ionising radiation; generally safe in pregnancy. Avoid direct coupling gel contact with open wounds without appropriate barrier.
CT Scanner,CT-01271,DiagnosticPlus,"Indicated for detailed cross-sectional imaging of the brain, chest, abdomen, pelvis, and musculoskeletal system for diagnosis and treatment planning.",Contraindicated in pregnancy unless benefits outweigh risks. Contrast agents contraindicated in severe renal impairment or contrast allergy without premedication.
MRI Scanner,MRI-01272,VitalSigns Corp,"Indicated for soft tissue characterisation, neurological imaging, cardiac assessment, and musculoskeletal evaluation without ionising radiation.","Contraindicated in patients with ferromagnetic implants, certain pacemakers, cochlear implants, or claustrophobia without sedation."
Nebuliser,NEB-01273,ImplantTech Ltd,"Indicated for delivery of aerosolised medications including bronchodilators, corticosteroids, and mucolytics to patients with respiratory conditions.",Ensure medication compatibility with nebuliser components. Not recommended as sole treatment in severe acute asthma without concurrent therapy.
Syringe Driver,SD-01274,CriticalCare Systems,"Indicated for continuous subcutaneous infusion of medications including analgesics, antiemetics, and sedatives in palliative and acute care settings.",Contraindicated for medications with known incompatibilities in the same syringe. Regular site inspection required to prevent subcutaneous reactions.
Defibrillator Monitor,DM-01275,PrecisionMed Inc,"Indicated for cardiac rhythm monitoring and emergency defibrillation in intensive care units, emergency departments, and during transport.",Ensure gel pads are not placed over implanted devices. Do not use in flammable anaesthetic environments.
Insulin Pump,INS-01276,MedTech Solutions,Indicated for continuous subcutaneous insulin infusion in patients with type 1 diabetes or type 2 diabetes requiring intensive insulin therapy.,Contraindicated in patients unable or unwilling to perform frequent blood glucose monitoring. Risk of diabetic ketoacidosis with pump failure.
Endoscope,ENDO-01277,BioDevice Corp,"Indicated for diagnostic and therapeutic gastrointestinal procedures including colonoscopy, gastroscopy, and ERCP.","Contraindicated in suspected bowel perforation, patient refusal, or haemodynamic instability precluding safe sedation."
Surgical Robot,SR-01278,ClinicalPro Ltd,"Indicated for minimally invasive surgical procedures including prostatectomy, hysterectomy, and bariatric surgery requiring precision manipulation.",Contraindicated in patients unable to tolerate general anaesthesia or Trendelenburg positioning. Operator training mandatory.
Phototherapy Unit,PT-01279,HeartCare Systems,"Indicated for treatment of neonatal jaundice, psoriasis, atopic eczema, and other photosensitive dermatological conditions.","Contraindicated in patients with porphyria, lupus, or those taking photosensitising medications without medical supervision."
Implantable Cardioverter Defibrillator,ICD-01280,PulmoTech Inc,"Indicated for patients with ventricular tachycardia or fibrillation, survivors of sudden cardiac arrest, or those at high risk of life-threatening arrhythmias.","Contraindicated in patients with reversible causes of arrhythmia, active systemic infection, or life expectancy less than one year."
Pacemaker,PM-01281,NeuroCare Devices,"Indicated for symptomatic bradycardia, complete heart block, sick sinus syndrome, and other conditions requiring sustained cardiac pacing.",Contraindicated in patients with demand-type devices exposed to strong electromagnetic fields without shielding; not recommended in active sepsis.
Continuous Positive Airway Pressure Device,CPAP-01282,SurgicalPro Ltd,"Indicated for obstructive sleep apnoea, central sleep apnoea, and respiratory insufficiency requiring non-invasive ventilatory support.","Contraindicated in patients with cerebrospinal fluid leaks, recent facial or skull surgery, or severe bullous lung disease."
Haemodialysis Machine,HD-01283,DiagnosticPlus,"Indicated for patients with end-stage renal disease, acute kidney injury requiring renal replacement therapy, or severe electrolyte imbalances.",Contraindicated in haemodynamically unstable patients unable to tolerate extracorporeal circulation; relative contraindication in active haemorrhage.
Infusion Pump,IP-01284,VitalSigns Corp,"Indicated for controlled delivery of intravenous fluids, chemotherapy, antibiotics, analgesics, and other medications requiring precise dosing.",Contraindicated for medications incompatible with the pump tubing material; do not use without appropriate clinical supervision.
Mechanical Ventilator,MV-01285,ImplantTech Ltd,"Indicated for respiratory failure, post-operative ventilatory support, neuromuscular disease, and patients unable to maintain adequate spontaneous ventilation.",Contraindicated in patients with untreated tension pneumothorax; use with caution in severe bullous emphysema.
Automated External Defibrillator,AED-01286,CriticalCare Systems,Indicated for use in cardiac arrest with shockable rhythms including ventricular fibrillation and pulseless ventricular tachycardia.,Do not use on patients with a detectable pulse. Avoid placement over implanted devices or transdermal medication patches.
Blood Glucose Monitor,BGM-01287,PrecisionMed Inc,Indicated for self-monitoring of blood glucose in patients with diabetes mellitus type 1 and type 2 requiring glycaemic management.,Not intended for use in critically ill patients where laboratory measurements are required. Haematocrit extremes may affect accuracy.
Pulse Oximeter,PO-01288,MedTech Solutions,Indicated for continuous or spot-check monitoring of peripheral oxygen saturation and pulse rate in clinical and home settings.,"May be inaccurate in patients with poor peripheral perfusion, carbon monoxide poisoning, severe anaemia, or darkly pigmented skin."
Electrocardiograph,ECG-01289,BioDevice Corp,"Indicated for recording cardiac electrical activity to diagnose arrhythmias, myocardial infarction, conduction abnormalities, and electrolyte disturbances.",No absolute contraindications. Avoid electrode placement over broken skin or wounds. Results may be affected by motion artefact.
Ultrasound Scanner,US-01290,ClinicalPro Ltd,"Indicated for diagnostic imaging of abdominal organs, cardiac structures, vascular anatomy, obstetric assessment, and guided interventional procedures.",No ionising radiation; generally safe in pregnancy. Avoid direct coupling gel contact with open wounds without appropriate barrier.
